close,date,high,low,open
1061.28003,2015-12-15,1068.83008,1058.755,1060.15503
1072.51001,2015-12-16,1078.69995,1060.90002,1061.16992
1051.10498,2015-12-17,1074.09998,1047.69995,1072.46509
1066.69995,2015-12-18,1071.67993,1050.995,1051.10999
1078.59998,2015-12-21,1082.09998,1063.94995,1066.25
1072.71997,2015-12-22,1081.09998,1071.89001,1078.42993
1070.39001,2015-12-23,1075.69995,1068.34998,1072.47498
1076.19507,2015-12-24,1077.40002,1070.15002,1070.42505
1076.92505,2015-12-25,1076.92505,1076.19495,1076.19507
1069.28003,2015-12-28,1077.25,1066.55005,1076.92505
1069.19507,2015-12-29,1075.40002,1067.58008,1069.20996
1061.61499,2015-12-30,1072.3501,1059.40002,1069.10999
1061.43506,2015-12-31,1063.66992,1058.0,1061.55493
1061.47998,2016-01-01,1062.23999,1061.47998,1061.5
1074.65503,2016-01-04,1083.80005,1061.84998,1062.03003
1077.54504,2016-01-05,1082.17004,1072.75,1074.78003
1093.69507,2016-01-06,1095.5,1075.05005,1077.59497
1108.96997,2016-01-07,1110.59998,1091.48999,1093.68994
1104.41992,2016-01-08,1113.31494,1092.38501,1108.97998
1094.30493,2016-01-11,1108.66504,1093.64502,1104.21997
1086.42993,2016-01-12,1099.69995,1083.40002,1094.28003
1093.55005,2016-01-13,1095.80005,1079.84998,1086.44507
1078.40002,2016-01-14,1095.59998,1071.40002,1093.625
1089.0,2016-01-15,1097.65002,1076.30005,1078.40503
1089.36499,2016-01-18,1093.5,1087.59998,1088.71997
1087.39001,2016-01-19,1094.69995,1082.56006,1089.36499
1100.9751,2016-01-20,1109.84998,1087.34998,1087.41003
1101.10498,2016-01-21,1105.09998,1092.52502,1100.85498
1097.96497,2016-01-22,1103.59998,1094.09998,1101.25
1107.97998,2016-01-25,1109.40002,1097.30005,1097.87
1119.83008,2016-01-26,1123.07495,1107.08997,1108.04492
1124.94507,2016-01-27,1128.5,1114.95508,1119.95508
1114.95508,2016-01-28,1126.19995,1111.09998,1124.75
1118.30005,2016-01-29,1118.64502,1108.53003,1114.94995
1128.53491,2016-02-01,1130.0,1115.46497,1117.995
1129.04004,2016-02-02,1131.19995,1122.34998,1128.47998
1142.5249,2016-02-03,1146.0,1124.44995,1129.09009
1155.56494,2016-02-04,1157.69995,1139.52502,1142.58008
1174.30005,2016-02-05,1174.80005,1145.25,1155.54492
1189.17505,2016-02-08,1201.19995,1164.30005,1173.46997
1189.10498,2016-02-09,1199.09998,1185.75,1189.40002
1197.37,2016-02-10,1197.88501,1181.40002,1189.10498
1246.78003,2016-02-11,1263.58496,1195.90002,1197.16992
1238.09998,2016-02-12,1248.42505,1232.52002,1246.79492
1209.15503,2016-02-15,1238.45996,1202.125,1238.45996
1199.91504,2016-02-16,1217.15002,1190.94507,1208.99512
1208.3999,2016-02-17,1213.94995,1195.79004,1200.33008
1231.11499,2016-02-18,1240.09998,1200.83008,1208.40503
1226.31006,2016-02-19,1234.80005,1220.04492,1231.05005
1208.96997,2016-02-22,1228.01501,1202.005,1228.01489
1225.69995,2016-02-23,1228.51001,1207.19995,1208.66504
1228.89001,2016-02-24,1253.44995,1221.92505,1226.05005
1233.13,2016-02-25,1243.26501,1221.09998,1228.84998
1222.59998,2016-02-26,1240.53491,1211.30005,1233.15991
1238.5,2016-02-29,1241.255,1215.75,1222.65002
1232.15002,2016-03-01,1248.65503,1227.19995,1238.38
1239.97998,2016-03-02,1244.23499,1224.59998,1232.15002
